danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature
0.442,0.748,11,-4.718,0,0.0895,0.0272,0.000128,0.0642,0.408,99.981,0ra3bPUOj2YnY4FJHXtgHZ,4
0.599,0.816,11,-3.412,0,0.0556,0.0911,2.17e-06,0.0961,0.399,106.962,7rXcCpIAoOUCydkVDMcoPV,4
0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,0skYUMpS0AcbpjcGsAbRGj,4
0.677,0.557,1,-8.409,1,0.0694,0.00508,8.36e-06,0.0984,0.1,150.127,62Yo3FDddWY8ydu6PW2wyz,4
0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096,7CAdT0HdiQNlt1C7xk2hep,4
0.786,0.762,1,-2.508,1,0.0519,0.0524,1.04e-05,0.0971,0.731,90.963,4QDpsNBlllaLGj8zbF2EE0,4
0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915,5cTnKClHyczcUhFT8MKBZe,4
0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096,6PRy17C5LiiN7VCLS6IA98,4
0.626,0.623,6,-5.718,0,0.0653,0.0559,0.0,0.199,0.123,140.209,05ib88vsMeLfwlAfrZyz99,4
0.663,0.578,2,-9.079,1,0.0687,0.312,0.906,0.109,0.553,86.986,4pTkDIlpFNoeWbahu8pVXW,4
0.79,0.838,7,-3.183,1,0.0501,0.332,7.07e-06,0.357,0.738,98.966,7ixVW7RobslvMrvlzHYLha,4
0.555,0.89,9,-5.349,1,0.132,0.00399,0.0,0.0506,0.581,181.963,0tYZo2UhV1lrUez5CA0Iyw,4
0.766,0.664,9,-6.932,0,0.177,0.334,0.0,0.115,0.509,109.946,4XcxgZSriCYamtIA7BgT7V,4
0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,27bIik73QCu8Xzt3xpG1bI,4
0.709,0.809,2,-3.198,0,0.0541,0.312,0.0,0.0899,0.788,111.01,3QwiidVHfeE9y5jl4n2MTC,4
0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,10SRMwb9EuVS1K9rYsBfHQ,4
0.812,0.807,9,-3.354,1,0.339,0.11,0.0,0.211,0.4,136.979,4b3rGL8LDSkbARUUA20136,4
0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,7hU3IHwjX150XLoTVmjD0q,4
0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,1wcr8DjnN59Awev8nnKpQ4,4
0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,0UzymivvUH5s8z4PeWZJaK,4
0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,308Ir17KlNdlrbVLHWhlLe,4
0.601,0.786,1,-3.706,1,0.234,0.213,0.0,0.209,0.79,172.156,0nwTMzpatarzvLvtwwzdCt,4
0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973,1Z8TPHiKeCUyClxV6WTTIf,4
0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7,2pn8dNVSpYnAtlKFC8Q0DJ,4
0.707,0.74,11,-4.311,0,0.0509,0.179,0.0,0.612,0.336,127.974,0LatE4S9UtCDwIdGQsFFKL,4
0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,7n2FZQsaLb7ZRfRPfEeIvr,4
