artist_name,artist_id,track_name,track_id,ff,track_popularity,artist_followers,artist_popularity,artist_genres
TAEYONG,6SKusTjOAPsTZ6kareKQdm,RUBY,5tT5JkfzoiOx1rCNKYiE0Y,1,55,1211332,57,['k-pop']
Crush,6aLdhHUqgdKE86xbtNmY8g,For Days to Come,39DbWkKmYE0j4nEnp4TMP2,1,46,1174984,63,"['k-pop', 'korean r&b']"
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Ready or Not,5ArnumzuZkiaSmZaxPsQfh,1,52,608315,47,['k-pop']
Epik High,5snNHNlYT2UrtZo5HCJkiw,Screen Time (Feat. Hoshi of SEVENTEEN) - B-Roll Version,5wGg3XXTgENKBTSc1M5TNR,1,52,739992,56,"['k-pop', 'k-rap', 'korean old school hip hop']"
Crush,6aLdhHUqgdKE86xbtNmY8g,GOT ME GOT U,35jlQdFrP1DGPhIv8r0rbA,1,46,1174984,63,"['k-pop', 'korean r&b']"
Sung Si Kyung,7jFUYMpMUBDL4JQtMZ5ilc,Even for a moment,1nS7nL6Kyh8p0DOglJTdfD,1,52,237609,49,['korean pop']
Crush,6aLdhHUqgdKE86xbtNmY8g,Nothing Else (Feat. Kim Ximya),1d1yzOq8VHkoLCa0kBrmXp,1,46,1174984,63,"['k-pop', 'korean r&b']"
Crush,6aLdhHUqgdKE86xbtNmY8g,Remember Me,70rGAwgvjdi1dqOdSccIcT,1,45,1174984,63,"['k-pop', 'korean r&b']"
Say Yes!,7sPKpBhx7fwPp9wMGYvQJI,Say My Name,2lDOkJgVMNz4iMmoAHhhqC,1,58,5584,36,['k-pop boy group']
BLACKSWAN,2ujaWf015QoP7x1u20Yq5G,Karma,0AZ5C3305mRKWX1x0hDF39,1,53,139762,39,['k-pop girl group']
Suzy,4U80LJd8sG6U9YTFP5izka,Ordinary Days,1dOHnOPWXfUjDtrCq5HNHg,1,58,483545,51,['k-pop']
EXO,3cjEqqelV9zb4BYE3qDQ4O,Another Day,7BE2rwnP5B2bCeLLpY40Tm,1,54,9788318,68,"['k-pop', 'k-pop boy group']"
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,House on a Hill (feat. Em Beihold),0UyRFcsiHYGq4c4NhAN9jZ,1,47,2235528,58,['k-pop']
j-hope,0b1sIQumIAsNbqAoIClSpy,Safety Zone,2WwmLOkTON4hjrMJz72ZfT,1,54,16590748,68,"['k-pop', 'k-rap']"
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,N.Y.C.T,4ksIFsGXezKXZX91dE6ClJ,1,56,4231252,64,"['k-pop', 'k-pop boy group']"
BOYS PLANET,49pGKUCSjzaCfv8gdTWG98,Here I Am,5ZMbkW9TYzmKyod6FCIS4Q,1,58,144303,46,['k-pop boy group']
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,DEMIAN,2k2stGWMSU85UayvEGlm5W,1,50,1294697,60,"['k-pop', 'k-pop girl group']"
j-hope,0b1sIQumIAsNbqAoIClSpy,Future,1Vs20by3VD5F1MSschAF7A,1,54,16590748,68,"['k-pop', 'k-rap']"
Jung Seung Hwan,7l8rOFwZFQ3G0sgZ7gjGng,Night and Day,37x2x6UQfUcvbM8NVHRngO,1,58,250731,52,['korean pop']
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,House on a Hill,45j87ToTmijZzMNxtotmXa,1,48,2235528,58,['k-pop']
Tech N9ne,6UBA15slIuadJ8h2lPRPos,What Happened To You?,3LShZ4s9iytJFDlw5IpQ3l,1,45,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
j-hope,0b1sIQumIAsNbqAoIClSpy,What if??4vC2BY833RNjG04vTIozVB,54,1,16590748,68,"['k-pop', 'k-rap']",
tripleS,5Z71xE9prhpHrqL5thVMyK,Rhodanthe,5vJCtXQtKQOcGXCpiUXaIr,1,52,285350,54,['k-pop girl group']
OMEGA X,2FJYWlqgtoiBtXpOy9GGIF,JUNK FOOD,5aEdNj5hYLKwSiO9vKK552,1,51,213081,43,['k-pop']
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,Not Your Fault,3OECqiMnDCzadpOtUocKbE,1,42,4231252,64,"['k-pop', 'k-pop boy group']"
Kep1er,5R7AMwDeroq6Ls0COQYpS4,Grand Prix,5btc1Il6aABmVNUOjooNK8,1,55,1375828,57,['k-pop']
Sunwoojunga,04L3elxyr0XFua2Ek3domW,Silence,4jo1vWSksZ88INZrc3EEhz,1,56,107964,45,"['k-indie', 'korean pop']"
MOONBIN&SANHA(ASTRO),2jrwm2knXPMawr5p8FuC2h,Madness,7n21DchMhEHga46iMecQHW,1,54,175787,42,['k-pop boy group']
NMIXX,28ot3wh4oNmoFOdVajibBl,PAXXWORD,57IfwDNINXVRAWbmmaBcP9,1,51,2131236,63,"['k-pop', 'k-pop girl group']"
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,It Can't Be,02fSQ3XjizT3cktuKzD8Nh,1,48,3164524,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
WOODZ,6y9nlaoynxSvoTGY09Vdcy,Busted,2RUNqDPQJrxFjcwqn1jOqu,1,51,763727,53,"['k-pop', 'korean r&b']"
8TURN,7tCg9aiVKZ5Cmhbfb7UoqM,EXCEL,0hPbVp26JuqHo0N3JPvdDZ,1,51,160773,40,['k-pop boy group']
Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,Meshuggah,7FpD6W73sZuEEp4dNRCwy9,1,49,827230,58,"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
TREASURE,3KonOYiLsU53m4yT7gNotP,MOVE (T5),7EtNbIeSYjE4PeitHqEHhs,1,50,3141331,66,['k-pop boy group']
SHINee,2hRQKC0gqlZGPrmUKbcchR,Identity,457PtRB1HpGS2gtAg7xDCA,1,51,3110369,61,"['k-pop', 'k-pop boy group']"
iKON,5qRSs6mvI17zrkJpOHkCoM,PANORAMA,7DwR5sQ0kpwvAz60Fm0FEk,1,54,3501878,59,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Clarity,4d8DQJotWKlumsOEUzQGVT,1,46,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Groovy,7I2ue60s8PvCbc1Oovt5ph,1,51,608315,47,['k-pop']
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,Up 2 Me,0QDDap5BWq7HMx1jBEYYMZ,1,52,385003,56,"['k-pop', 'k-pop girl group']"
En Butter,3X6XIt8zNXvrNzxb1R8TW5,En Garde,4GZvo0OL3BsRxNrj4TBeP3,1,56,4459,34,['k-pop boy group']
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Starry Night,2HdRqReasUB4xofQCoDoTX,1,48,7391266,70,['k-pop boy group']
