artist_name,artist_id,track_name,track_id,track_popularity,artist_popularity,artist_genres,artist_followers
The Rose,5na1LmEmK2VzNLje9snJYW,You're Beautiful,6Ca2C9ycBna1WXfL5cB6Gn,59,63,"['k-pop', 'k-pop boy group']",2520981
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"FEARNOT (Between you, me and the lamppost)",0sNfFxw3pJkVmRsgY781vM,62,76,['k-pop girl group'],3614292
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Nobody Knows,70efTlnBNM8BvfhfPiqOBN,62,60,['k-pop girl group'],288714
TAEMIN,13rF01aOogvnkuQXOlgTW8,Blue,2xSDet34W2nais0jv6Oh5j,60,64,['k-pop'],2876764
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Super Bowl -Japanese ver.-,74zvsuvIImK08x0SyRdw78,64,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,The BAT,1MRC31VxOjOT7Lune15OjW,51,64,"['k-pop', 'k-pop boy group']",4231252
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Ambitious,0pytLWYHCQdheIWB2Ay5Dk,58,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3164524
AKMU,6OwKE9Ez6ALxpTaKcT5ayv,Fry’s Dream,6f4CAdAmrOfGH3FOfwHMSV,64,63,['k-pop'],1503394
NCT 127,7f4ignuCJhLXfZ9giKT7rH,Je Ne Sais Quoi,0RRulrevan6sxj7KfMBi6k,57,69,"['k-pop', 'k-pop boy group']",7273469
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,Je Ne Sais Quoi,1qlusFEI25LWMQNXcxfL7a,58,45,['k-pop girl group'],123407
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,April shower,7rIXkPCaibFJTs4rKS29OS,65,78,"['k-pop', 'k-pop boy group']",10621758
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,今 -明日 世界が終わっても-,2dThVzsCkB0L8tWFvQH53N,67,78,"['k-pop', 'k-pop boy group']",10621758
KEY,6XXKPxRX2WWPPtfodzpc2v,Good & Great,51oDOYN8AOyzvOpcvRGyI8,63,52,['k-pop'],634344
The Rose,5na1LmEmK2VzNLje9snJYW,You're Beautiful,6DHPaizkhWLCUxDgrYZI0f,59,63,"['k-pop', 'k-pop boy group']",2520981
Overdose,32jdgEsyvdXqUoReMyR0gl,Over Me,59oJpXOayvcKGbTXbrZjzF,62,40,['k-pop boy group'],8416
IVE,6RHTUrRF63xao58xh9FXYJ,섬찟 (Hypnosis),1tzeAVyGwvoHcVzDit0UeT,61,74,['k-pop girl group'],3202857
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,I DO,4DBLBCVLDOmJwRysidmjHL,62,73,['k-pop girl group'],7944655
j-hope,0b1sIQumIAsNbqAoIClSpy,MORE,36KFMe3Q3wLCXd9SUudx9M,69,68,"['k-pop', 'k-rap']",16590748
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Band Ver.),1zAYWqTX6qyRCKe9KuCUx0,65,89,['k-pop'],11467146
ITZY,2KC9Qb60EaY0kW4eH68vr3,RINGO,2zRz0XfYEtsHuVfrM8KaOP,62,70,"['k-pop', 'k-pop girl group']",6307930
WayV,1qBsABYUrxg9afpMtyoFKz,No One But You,5xWt3H5V105vBkAe4IzFqt,59,61,"['chinese idol pop', 'k-pop']",2038184
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,It Can't Be,2lW1lJSLatkcHxwDdCiSTB,57,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3164524
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Standing Next to You (Instrumental),3mInLFp4KEUBV9qMZ67HPV,60,89,['k-pop'],11467146
Stray Kids,2dIgFjalVxs4ThymZ67YCE,THE SOUND,0q8bRAh9BktYFcsFfXOOWI,62,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
WayV,1qBsABYUrxg9afpMtyoFKz,On My Youth - English Version,3aybnlPK0zZK2YRmlRm0Ph,61,61,"['chinese idol pop', 'k-pop']",2038184
