artist_id,artist_name,artist_popularity,artist_followers,track_id,track_name,release_date,artist_genres,track_popularity,album_image
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,5LHZpdMOGawsNAbC0xn6p1,Cupid - Twin Ver.,2023-11-14,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e0207835af035d4a342a732c2d7
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,2ICycSRrZDsyLRwsjdkVwi,Cupid - Twin Ver.,2023-11-17,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e02662c6cf39263b686add9b02e
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,3CxkWCkTQ7YY5D3ZKlMOyH,Cupid - Twin Ver.,2023-11-30,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e02be5b4203194d20c83189fae5
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,5j49PHwqmgkQPlA7dDah9q,Cupid - Twin Ver.,2023-11-18,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e02531bec157acdd2874849348c
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,4IxAB8NjzFHts1OGxs3Aqe,Cupid - Twin Ver.,2023-11-18,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e0234369e594fde84432492854e
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,69,1384578,7fg3kZXdD8s5ZloXHIVOkB,Cupid - Twin Ver.,2023-11-17,['k-pop girl group'],0,https://i.scdn.co/image/ab67616d00001e02dfc4ca3d80baaf43e4b20f6f
4TEK9tIkcoxib4GxT3O4ky,KISS OF LIFE,60,288714,3qqwxYn7GZhwRa93L388oA,TTG,2023-11-08,['k-pop girl group'],57,https://i.scdn.co/image/ab67616d00001e0296d36aec71bf25f59df5cc96
70DFixYAFPv4Pf9kgSfR9O,MARK,45,634266,14sD1EmQ20kSJY3P0M82MY,Golden Hour,2023-04-07,['k-pop'],59,https://i.scdn.co/image/ab67616d00001e02957d63a17c008c8a7c499f4d
2CQZr2RPZmrcvDnaod1ldC,D.O.,64,1842035,6piqcwymeAa2yyqIP8AjNj,Wonder,2023-09-18,['k-pop'],61,https://i.scdn.co/image/ab67616d00001e029fc7a71661f7d244cfbadf8d
1qBsABYUrxg9afpMtyoFKz,WayV,61,2038184,4nx1ofp6LiFPZCWM952mXG,Be Alright,2023-11-01,"['chinese idol pop', 'k-pop']",56,https://i.scdn.co/image/ab67616d00001e023c79804c77ff83345b7425cd
0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ,58,2763302,5yREbqEnoqMRuIOQ60t6as,LIP GLOSS,2023-08-07,"['k-pop', 'k-pop boy group']",57,https://i.scdn.co/image/ab67616d00001e02dff665230ac08de979d3bd0e
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,5sVWwPuoQlZpvAFcF0MMjf,Perfect Night (Slowed + Reverb ver.),2023-10-30,['k-pop girl group'],58,https://i.scdn.co/image/ab67616d00001e02c8a3d178713ec818a28586a5
1khChLj7REGqjM043PlYyn,Xdinary Heroes,57,862401,4Zse4Tu3LKmkiGZlujIHGO,Freddy,2023-10-11,['k-pop boy group'],58,https://i.scdn.co/image/ab67616d00001e0278e172661e9902180548593b
6y9nlaoynxSvoTGY09Vdcy,WOODZ,53,763727,4xeugB5MqWh0jwvXZPxahq,Drowning,2023-04-26,"['k-pop', 'korean r&b']",58,https://i.scdn.co/image/ab67616d00001e02e87a41550ee1b24be3e6e1fb
7kXQtwn3ZRTBc8JYNyGwQy,Parc Jae Jung,39,31544,2KNEK9rGKQKKNE6FTt8PvQ,Let's Say Goodbye,2023-04-20,"['k-pop ballad', 'korean ost', 'korean pop']",55,https://i.scdn.co/image/ab67616d00001e02473a5032790129fd7421c80e
2FLqlgckDKdmpBrvLAT5BM,Eric Nam,58,2235528,1HqnN6edmkJ24A7xc7KKkz,undefined,2023-09-08,['k-pop'],52,https://i.scdn.co/image/ab67616d00001e0236b09ec7ebfb00b1a7e57e40
6YVMFz59CuY7ngCxTxjpxE,aespa,75,4110265,3q5qpprtugUIEPExuI7tRD,Welcome To MY World (feat. n√¶vis),2023-05-08,['k-pop girl group'],59,https://i.scdn.co/image/ab67616d00001e0204878afb19613a94d37b29ce
2CQZr2RPZmrcvDnaod1ldC,D.O.,64,1842035,5MvrUHwkiKxT18YmmnBh5Y,The View,2023-09-18,['k-pop'],61,https://i.scdn.co/image/ab67616d00001e029fc7a71661f7d244cfbadf8d
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,5zYrD1r49ex3WJk6iVIhfw,"Eve, Psyche & the Bluebeard?ôs wife (feat. Demi Lovato)",2023-08-04,['k-pop girl group'],59,https://i.scdn.co/image/ab67616d00001e0244ad575bbe0bd1dafbbbb6ca
