Playlist,Playlist ID,Playlist Creator ID,Artist,Track,Artist ID,Track ID
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,THE BOYZ,WATCH IT,0CmvFWTX9zmMNCUi6fHtAx,3UQw1V8gM5YihFDcnjNkWN
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,aespa,Drama,6YVMFz59CuY7ngCxTxjpxE,5XWlyfo0kZ8LF7VSyfS4Ew
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,BANG YEDAM,Only One,1slszTGbkp1uNnI6G5uD0X,00Ba2PRFeih7voe93Bf5mk
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,DPR IAN,Don't Go Insane,2o8gT0fQmFxGNbowbdgeZe,5izX3yhDZHqQFi8p2m6RHi
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Stray Kids,LALALALA,2dIgFjalVxs4ThymZ67YCE,1OG1NoKpZZLrMqMYCk9m84
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Jung Kook,Standing Next to You (Usher Remix),6HaGTQPmzraVmaVxvz6EUc,0VPFT123HKoQ2J6ipeDcI1
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,JEON SOYEON,NOBODY,6Xg22wJOAcnvPUfk5WvODH,4loUHO28CuvSbEiZXId1BD
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Red Velvet,Chill Kill,1z4g3DjTBBZKhvAroFlhOM,68gQG2HpRMxIRom4pCugMq
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,TAEMIN,Guilty,13rF01aOogvnkuQXOlgTW8,4jMwQaDiDICry8Ia1gFnAn
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Jung Kook,3D (Justin Timberlake Remix),6HaGTQPmzraVmaVxvz6EUc,2mHw0KoEyDw8Yaw3yPoke6
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,KISS OF LIFE,Bad News,4TEK9tIkcoxib4GxT3O4ky,7AGq5qaaF9awHDaKuCvVjj
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,VIVIZ,MANIAC,7Lq3yAtwi0Z7zpxEwbQQNZ,618OKP1lBkNJL8uZdNSvQE
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,IVE,Baddie,6RHTUrRF63xao58xh9FXYJ,7uyeEbG6hyApgXuEypGcsZ
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Crush,Hmm-cheat,6aLdhHUqgdKE86xbtNmY8g,7hYGWflgiI2aa25jOgL6eg
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,ZEROBASEONE,CRUSH,7cjg7EkeZy3OI5o9Qthc6n,2qiWQf7ka0C4XoA7JAZ1q5
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,SEVENTEEN,God of Music,7nqOGRxlXj7N2JYbgNEjYH,4MTNimMDRyFZv37Thcktwa
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,(G)I-DLE,I Want That,2AfmfGFbe0A0WsTYm0SDTx,3F2BLyGt6zYLrHYpbdTw5L
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,AKMU,Love Lee,6OwKE9Ez6ALxpTaKcT5ayv,1qosh64U6CR5ki1g1Rf2dZ
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,RIIZE,Talk Saxy,2jOm3cYujQx6o1dxuiuqaX,2cEwQnP4284g37N6D7ETND
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,ENHYPEN,Bite Me,5t5FqBwTcgKTaWmfEbwQY9,7mpdNiaQvygj2rHoxkzMfa
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,JENNIE,You & Me,250b0Wlc5Vk0CoUsaCY84M,6gcuJpHu0Ey30D5WR76y98
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,(G)I-DLE,Queencard,2AfmfGFbe0A0WsTYm0SDTx,4uOBL4DDWWVx4RhYKlPbPC
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,SEVENTEEN,Super,7nqOGRxlXj7N2JYbgNEjYH,3AOf6YEpxQ894FmrwI9k96
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,ITZY,CAKE,2KC9Qb60EaY0kW4eH68vr3,3syxwxJqX5jpgjNYmvzdW6
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,IVE,I AM,6RHTUrRF63xao58xh9FXYJ,70t7Q6AYG6ZgTYmJWcnkUM
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,TOMORROW X TOGETHER,Chasing That Feeling,0ghlgldX5Dd6720Q3qFyQB,0ZPjVmof45INEERgYfadtv
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Epik High,Screen Time (Feat. Hoshi of SEVENTEEN),5snNHNlYT2UrtZo5HCJkiw,4yorFTfi9Tay8tG0NNK7vB
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),4SpbR6yFEvexJuaBpgAU5p,51vRumtqbkNW9wrKfESwfu
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,LE SSERAFIM,ANTIFRAGILE,4SpbR6yFEvexJuaBpgAU5p,4fsQ0K37TOXa3hEQfjEic1
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,JEON SOMI,Fast Forward,7zYj9S9SdIunYCfSm7vzAR,7jzOZuWgZ5gaMet9V5Ix1d
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,NewJeans,OMG,6HvZYsbFfjnjFrWF950C9d,65FftemJ1DbbZ45DUfHJXE
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Dynamicduo,"Smoke (Prod. Dynamicduo, Padi)",4nvFFLtv7ZqoTr83387uK4,1qRfAvzRIJQodWKBNFAb6C
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,HWASA,I Love My Body,7bmYpVgQub656uNTu6qGNQ,0pHylQR53epYtRcVIhUSCh
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,aespa,Spicy,6YVMFz59CuY7ngCxTxjpxE,1ULdASrNy5rurl1TZfFaMP
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,NCT 127,Fact Check,7f4ignuCJhLXfZ9giKT7rH,5EtiQveQFQy0R05hLVDyKv
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,NewJeans,Super Shy,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,IVE,Off The Record,6RHTUrRF63xao58xh9FXYJ,3G7MgLuWLzUJQflWOCDZit
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,Stray Kids,S-Class,2dIgFjalVxs4ThymZ67YCE,3gTQwwDNJ42CCLo3Sf4JDd
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,aespa,Better Things,6YVMFz59CuY7ngCxTxjpxE,6zZWoHlF2zNSLUNLvx4GUl
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,RIIZE,Get A Guitar,2jOm3cYujQx6o1dxuiuqaX,4H65EdACzwqV8sTt3dDyA0
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,(G)I-DLE,I DO,2AfmfGFbe0A0WsTYm0SDTx,6SePnvTZkIXZznc8Ftc6vM
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,League of Legends,GODS,47mIJdHORyRerp4os813jD,210JJAa9nJOgNa0YNrsT5g
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,TOMORROW X TOGETHER,Back for More (with Anitta),0ghlgldX5Dd6720Q3qFyQB,6uTPA1xlcsk6dbchB2dhzl
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,HWASA,Chili,7bmYpVgQub656uNTu6qGNQ,253P6uwLnelVQ6MdwXMIJk
