Playlist ID,Playlist Owner ID,Artist ID,Track ID,Playlist,Artist,Track
37i9dQZF1DX9tPFwDMOaN1,spotify,2jOm3cYujQx6o1dxuiuqaX,2cEwQnP4284g37N6D7ETND,K-Pop ON! (온),RIIZE,Talk Saxy
37i9dQZF1DX9tPFwDMOaN1,spotify,5t5FqBwTcgKTaWmfEbwQY9,7mpdNiaQvygj2rHoxkzMfa,K-Pop ON! (온),ENHYPEN,Bite Me
37i9dQZF1DX9tPFwDMOaN1,spotify,250b0Wlc5Vk0CoUsaCY84M,6gcuJpHu0Ey30D5WR76y98,K-Pop ON! (온),JENNIE,You & Me
37i9dQZF1DX9tPFwDMOaN1,spotify,2AfmfGFbe0A0WsTYm0SDTx,4uOBL4DDWWVx4RhYKlPbPC,K-Pop ON! (온),(G)I-DLE,Queencard
37i9dQZF1DX9tPFwDMOaN1,spotify,7nqOGRxlXj7N2JYbgNEjYH,3AOf6YEpxQ894FmrwI9k96,K-Pop ON! (온),SEVENTEEN,Super
37i9dQZF1DX9tPFwDMOaN1,spotify,2KC9Qb60EaY0kW4eH68vr3,3syxwxJqX5jpgjNYmvzdW6,K-Pop ON! (온),ITZY,CAKE
37i9dQZF1DX9tPFwDMOaN1,spotify,6RHTUrRF63xao58xh9FXYJ,70t7Q6AYG6ZgTYmJWcnkUM,K-Pop ON! (온),IVE,I AM
37i9dQZF1DX9tPFwDMOaN1,spotify,0ghlgldX5Dd6720Q3qFyQB,0ZPjVmof45INEERgYfadtv,K-Pop ON! (온),TOMORROW X TOGETHER,Chasing That Feeling
37i9dQZF1DX9tPFwDMOaN1,spotify,5snNHNlYT2UrtZo5HCJkiw,4yorFTfi9Tay8tG0NNK7vB,K-Pop ON! (온),Epik High,Screen Time (Feat. Hoshi of SEVENTEEN)
37i9dQZF1DX9tPFwDMOaN1,spotify,4SpbR6yFEvexJuaBpgAU5p,51vRumtqbkNW9wrKfESwfu,K-Pop ON! (온),LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers)
37i9dQZF1DX9tPFwDMOaN1,spotify,4SpbR6yFEvexJuaBpgAU5p,4fsQ0K37TOXa3hEQfjEic1,K-Pop ON! (온),LE SSERAFIM,ANTIFRAGILE
37i9dQZF1DX9tPFwDMOaN1,spotify,7zYj9S9SdIunYCfSm7vzAR,7jzOZuWgZ5gaMet9V5Ix1d,K-Pop ON! (온),JEON SOMI,Fast Forward
37i9dQZF1DX9tPFwDMOaN1,spotify,6HvZYsbFfjnjFrWF950C9d,65FftemJ1DbbZ45DUfHJXE,K-Pop ON! (온),NewJeans,OMG
37i9dQZF1DX9tPFwDMOaN1,spotify,4nvFFLtv7ZqoTr83387uK4,1qRfAvzRIJQodWKBNFAb6C,K-Pop ON! (온),Dynamicduo,"Smoke (Prod. Dynamicduo, Padi)"
37i9dQZF1DX9tPFwDMOaN1,spotify,7bmYpVgQub656uNTu6qGNQ,0pHylQR53epYtRcVIhUSCh,K-Pop ON! (온),HWASA,I Love My Body
37i9dQZF1DX9tPFwDMOaN1,spotify,6YVMFz59CuY7ngCxTxjpxE,1ULdASrNy5rurl1TZfFaMP,K-Pop ON! (온),aespa,Spicy
37i9dQZF1DX9tPFwDMOaN1,spotify,7f4ignuCJhLXfZ9giKT7rH,5EtiQveQFQy0R05hLVDyKv,K-Pop ON! (온),NCT 127,Fact Check
37i9dQZF1DX9tPFwDMOaN1,spotify,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,K-Pop ON! (온),NewJeans,Super Shy
37i9dQZF1DX9tPFwDMOaN1,spotify,6RHTUrRF63xao58xh9FXYJ,3G7MgLuWLzUJQflWOCDZit,K-Pop ON! (온),IVE,Off The Record
37i9dQZF1DX9tPFwDMOaN1,spotify,2dIgFjalVxs4ThymZ67YCE,3gTQwwDNJ42CCLo3Sf4JDd,K-Pop ON! (온),Stray Kids,S-Class
37i9dQZF1DX9tPFwDMOaN1,spotify,6YVMFz59CuY7ngCxTxjpxE,6zZWoHlF2zNSLUNLvx4GUl,K-Pop ON! (온),aespa,Better Things
37i9dQZF1DX9tPFwDMOaN1,spotify,2jOm3cYujQx6o1dxuiuqaX,4H65EdACzwqV8sTt3dDyA0,K-Pop ON! (온),RIIZE,Get A Guitar
37i9dQZF1DX9tPFwDMOaN1,spotify,2AfmfGFbe0A0WsTYm0SDTx,6SePnvTZkIXZznc8Ftc6vM,K-Pop ON! (온),(G)I-DLE,I DO
37i9dQZF1DX9tPFwDMOaN1,spotify,47mIJdHORyRerp4os813jD,210JJAa9nJOgNa0YNrsT5g,K-Pop ON! (온),League of Legends,GODS
37i9dQZF1DX9tPFwDMOaN1,spotify,0ghlgldX5Dd6720Q3qFyQB,6uTPA1xlcsk6dbchB2dhzl,K-Pop ON! (온),TOMORROW X TOGETHER,Back for More (with Anitta)
37i9dQZF1DX9tPFwDMOaN1,spotify,7bmYpVgQub656uNTu6qGNQ,253P6uwLnelVQ6MdwXMIJk,K-Pop ON! (온),HWASA,Chili
